device_id,device_name,sample_time,variable,value
20001,Uruguaiana I,2026-09-02 00:05:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:10:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:15:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:20:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:25:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:30:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:35:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:40:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:45:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:50:00,Active Power,
20001,Uruguaiana I,2026-09-02 00:55:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:00:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:05:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:10:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:15:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:20:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:25:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:30:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:35:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:40:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:45:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:50:00,Active Power,
20001,Uruguaiana I,2026-09-02 01:55:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:00:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:05:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:10:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:15:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:20:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:25:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:30:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:35:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:40:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:45:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:50:00,Active Power,
20001,Uruguaiana I,2026-09-02 02:55:00,Active Power,
20001,Uruguaiana I,2026-09-02 03:00:00,Active Power,
20001,Uruguaiana I,2026-09-02 03:05:00,Active Power,
20001,Uruguaiana I,2026-09-02 03:10:00,Active Power,
